TrialID	BlockCount	TrialStimIndices	TrialStimLocations	TrialStimTokenReward	RandomizedLocations
 VSn06.TDSIM2	1	[18,23,6,46,2,34,50]	[[20.00,0.00, 0.0],[-10.00, -3.80, 0.0],[10.00, -7.60, 0.0],[10.00, 11.40, 0.0],[-20.00, 0.00, 0.0],[10.00, -11.40, 0.0],[-20.00, -11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM1	1	[18,43,60,53,4,8,52,23,25,48,38,51,46]	[[-15.00,11.40, 0.0],[20.00, 0.00, 0.0],[20.00, -3.80, 0.0],[5.00, 0.00, 0.0],[-20.00, 3.80, 0.0],[15.00, 3.80, 0.0],[0.00, -11.40, 0.0],[-5.00, 11.40, 0.0],[20.00, 3.80, 0.0],[10.00, 7.60, 0.0],[-15.00, -3.80, 0.0],[0.00, -3.80, 0.0],[10.00, 0.00, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn09.TDSIM1	1	[18,47,55,59,12,60,42,62,0,32]	[[0.00,-3.80, 0.0],[5.00, -11.40, 0.0],[-10.00, -3.80, 0.0],[5.00, 3.80, 0.0],[-20.00, 3.80, 0.0],[-15.00, 7.60, 0.0],[-5.00, 7.60, 0.0],[-20.00, 7.60, 0.0],[10.00, 3.80, 0.0],[5.00, -3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM1	1	[18,63,8,56,0,23,42]	[[-5.00,-11.40, 0.0],[10.00, -11.40, 0.0],[-5.00, 7.60, 0.0],[-15.00, -11.40, 0.0],[-10.00, -11.40, 0.0],[5.00, 11.40, 0.0],[-20.00, -7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn03.TDSIM2	1	[18,49,26,50]	[[5.00,0.00, 0.0],[-15.00, 0.00, 0.0],[-10.00, 11.40, 0.0],[15.00, 11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn09.TDSIM1	1	[18,63,60,36,45,5,38,42,1,51]	[[0.00,-3.80, 0.0],[5.00, 11.40, 0.0],[-15.00, 3.80, 0.0],[10.00, -11.40, 0.0],[5.00, -11.40, 0.0],[-5.00, -7.60, 0.0],[0.00, -11.40, 0.0],[-15.00, -7.60, 0.0],[5.00, 3.80, 0.0],[10.00, -3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn09.TDSIM2	1	[18,28,0,32,27,6,22,2,34,50]	[[10.00,-11.40, 0.0],[10.00, 7.60, 0.0],[0.00, -7.60, 0.0],[5.00, -3.80, 0.0],[-15.00, 11.40, 0.0],[-20.00, -7.60, 0.0],[-15.00, -3.80, 0.0],[0.00, 3.80, 0.0],[15.00, 0.00, 0.0],[15.00, 11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM1	1	[18,40,52,11,42,54,33]	[[20.00,-7.60, 0.0],[15.00, -7.60, 0.0],[5.00, -11.40, 0.0],[0.00, 11.40, 0.0],[-5.00, 7.60, 0.0],[0.00, -7.60, 0.0],[-20.00, -11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn03.TDSIM2	1	[18,10,34,17]	[[-20.00,-7.60, 0.0],[15.00, -11.40, 0.0],[-10.00, 11.40, 0.0],[10.00, -7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM2	1	[18,35,33,20,3,54,14,19,26,16,2,34,17]	[[-5.00,-7.60, 0.0],[-10.00, -7.60, 0.0],[20.00, -3.80, 0.0],[20.00, 11.40, 0.0],[5.00, -7.60, 0.0],[10.00, -11.40, 0.0],[-10.00, 11.40, 0.0],[5.00, 3.80, 0.0],[15.00, -11.40, 0.0],[-15.00, 0.00, 0.0],[-20.00, 7.60, 0.0],[-20.00, -7.60, 0.0],[10.00, -7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
