TrialID	BlockCount	TrialStimIndices	TrialStimLocations	ProbabilisticTrialStimTokenReward
VSn0.TDSIM0	1	[1]	[[-3,2, 0.0]]	[[{"NumReward":3,"Probability":1}]]
VSn12.TDSIM1	1	[1,0,2,3,4,5,6,7,8,9]	[[3,-2, 0],[-2, 2, 0],[0, 2, 0],[0, -2, 0],[-2, 2, 0],[2, 2, 0],[2, -2, 0],[-2.5, -1.5, 0.0],[2, 0, 0],[3, 0, 0]]	[[{"NumReward":3,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}]]
VSn0.TDSIM0	1	[7]	[[3.0, 2, 0.0]]	[[{"NumReward":3,"Probability":1}]]
VSn12.TDSIM1	1	[7, 1,3,4,5,6,8,9,2,0]	[[-3, 2, 0],[3, 2, 0],[0, 2, 0],[0, -2, 0],[2, 2, 0],[-2, 2, 0],[-3, -2, 0],[3, -2, 0],[-3, 0, 0],[3, 0, 0]]	[[{"NumReward":3,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}]]
VSn0.TDSIM0	2	[4]	[[-3,2, 0.0]]	[[{"NumReward":3,"Probability":1}]]
VSn12.TDSIM1	2	[4, 1,0,2,3,5,6,7,8,9]	[[3,-2, 0],[-2, 2, 0],[0, 2, 0],[0, -2, 0],[-2, 2, 0],[2, 2, 0],[2, -2, 0],[-2.5, -1.5, 0.0],[2, 0, 0],[3, 0, 0]]	[[{"NumReward":3,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}]]
VSn0.TDSIM0	2	[9]	[[3.0, 2, 0.0]]	[[{"NumReward":3,"Probability":1}]]
VSn12.TDSIM1	2	[9, 7,1,3,4,5,6,8,2,0]	[[-3, 2, 0],[3, 2, 0],[0, 2, 0],[0, -2, 0],[2, 2, 0],[-2, 2, 0],[-3, -2, 0],[3, -2, 0],[-3, 0, 0],[3, 0, 0]]	[[{"NumReward":3,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}], [{"NumReward":0,"Probability":1}]]
